Accession,Description,Gene,MW [kDa],Control_3,Case_3
Q8IY81,pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 OS=Homo sapiens OX=9606 GN=FTSJ3 PE=1 SV=2,FTSJ3,96.5,5251122.791230405,15937491.999730693
Q99439,Calponin-2 OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=4,CNN2,33.7,7567827.052815393,6956003.880770913
Q8NI36,WD repeat-containing protein 36 OS=Homo sapiens OX=9606 GN=WDR36 PE=1 SV=1,WDR36,105.3,6328693.302438961,9559207.527722657
P21127,Cyclin-dependent kinase 11B OS=Homo sapiens OX=9606 GN=CDK11B PE=1 SV=4,CDK11B,92.6,7442341.741376939,7421594.422512286
P53396,ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3,ACLY,120.8,4521806.890489152,10432461.121912047
Q96I24,Far upstream element-binding protein 3 OS=Homo sapiens OX=9606 GN=FUBP3 PE=1 SV=2,FUBP3,61.6,5033885.809442286,7143632.926437507
P15880,Small ribosomal subunit protein uS5 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2,RPS2,31.3,50331687.35632178,64088947.00653462
P15408,Fos-related antigen 2 OS=Homo sapiens OX=9606 GN=FOSL2 PE=1 SV=1,FOSL2,35.2,12141133.997477932,27557957.919635974
P13010,X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3,XRCC5,82.7,5626250.619987189,7017647.380821594
Q9C0D5,Protein TANC1 OS=Homo sapiens OX=9606 GN=TANC1 PE=1 SV=3,TANC1,202.1,3280237.1688251444,1304446.9413708511
P30041,Peroxiredoxin-6 OS=Homo sapiens OX=9606 GN=PRDX6 PE=1 SV=3,PRDX6,25.0,5705688.399859458,11298061.58347573
Q9Y5X1,Sorting nexin-9 OS=Homo sapiens OX=9606 GN=SNX9 PE=1 SV=1,SNX9,66.6,9146310.521571418,7649564.545509001
Q96PV6,Leukocyte receptor cluster member 8 OS=Homo sapiens OX=9606 GN=LENG8 PE=1 SV=3,LENG8,88.1,4324960.553747479,6165949.453910388
Q14134,Tripartite motif-containing protein 29 OS=Homo sapiens OX=9606 GN=TRIM29 PE=1 SV=2,TRIM29,65.8,12607274.885375107,5675986.729183891
P12270,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,TPR,267.1,1251419.007760297,1248791.681124172
P52594,Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=2,AGFG1,58.2,59350562.34883015,71621599.48970675
P61247,Small ribosomal subunit protein eS1 OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2,RPS3A,29.9,28464805.549175445,57522001.85834083
P25054,Adenomatous polyposis coli protein OS=Homo sapiens OX=9606 GN=APC PE=1 SV=2,APC,311.5,3937740.4727923637,11777945.432359142
P17980,26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3,PSMC3,49.2,5661787.48186448,4771014.042879815
Q7L592,"Protein arginine methyltransferase NDUFAF7, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFAF7 PE=1 SV=1",NDUFAF7,49.2,5216384.935700345,3892394.9478373434
P41252,"Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=IARS1 PE=1 SV=2",IARS1,144.4,4459231.205806859,7163427.1295246575
Q96HC4,PDZ and LIM domain protein 5 OS=Homo sapiens OX=9606 GN=PDLIM5 PE=1 SV=5,PDLIM5,63.9,8859630.982831478,5721795.945257484
Q16630,Cleavage and polyadenylation specificity factor subunit 6 OS=Homo sapiens OX=9606 GN=CPSF6 PE=1 SV=2,CPSF6,59.2,13925414.390517687,11815638.367608435
Q53EL6,Programmed cell death protein 4 OS=Homo sapiens OX=9606 GN=PDCD4 PE=1 SV=2,PDCD4,51.7,10576914.917790918,7078696.20083885
Q9UIG0,Tyrosine-protein kinase BAZ1B OS=Homo sapiens OX=9606 GN=BAZ1B PE=1 SV=2,BAZ1B,170.8,5840303.428086111,2208357.644429314
Q5T5U3,Rho GTPase-activating protein 21 OS=Homo sapiens OX=9606 GN=ARHGAP21 PE=1 SV=2,ARHGAP21,217.3,3643650.4991556597,2747663.107387064
P78318,Immunoglobulin-binding protein 1 OS=Homo sapiens OX=9606 GN=IGBP1 PE=1 SV=1,IGBP1,39.2,10827700.932564806,9261385.750765778
Q7Z589,BRCA2-interacting transcriptional repressor EMSY OS=Homo sapiens OX=9606 GN=EMSY PE=1 SV=2,EMSY,141.4,4267989.5480846595,3106371.5079223765
Q92878,DNA repair protein RAD50 OS=Homo sapiens OX=9606 GN=RAD50 PE=1 SV=1,RAD50,153.8,4306718.702959448,8272585.997111756
Q14498,RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39 PE=1 SV=2,RBM39,59.3,3365460.864215673,3929304.185146463
P62753,Small ribosomal subunit protein eS6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1,RPS6,28.7,44525389.80082387,51122244.27605604
Q9Y678,Coatomer subunit gamma-1 OS=Homo sapiens OX=9606 GN=COPG1 PE=1 SV=1,COPG1,97.7,4265132.228437704,6727793.2851046175
Q9UK76,Jupiter microtubule associated homolog 1 OS=Homo sapiens OX=9606 GN=JPT1 PE=1 SV=3,JPT1,16.0,13583522.814597862,17667344.947913744
Q8TA86,Retinitis pigmentosa 9 protein OS=Homo sapiens OX=9606 GN=RP9 PE=1 SV=2,RP9,26.1,10763199.244506503,10301078.666357208
Q8IX12,Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=2,CCAR1,132.7,7078133.517034658,6653226.772221022
P00966,Argininosuccinate synthase OS=Homo sapiens OX=9606 GN=ASS1 PE=1 SV=2,ASS1,46.5,21475265.709818978,30224808.53773527
Q99832,T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2,CCT7,59.3,6872817.761542998,10678738.395792559
Q6YN16,Hydroxysteroid dehydrogenase-like protein 2 OS=Homo sapiens OX=9606 GN=HSDL2 PE=1 SV=1,HSDL2,45.4,3626244.3368749362,8337088.4684562655
P27708,Multifunctional protein CAD OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=3,CAD,242.8,2728324.8403329845,5701991.389848317
Q6IN85,Serine/threonine-protein phosphatase 4 regulatory subunit 3A OS=Homo sapiens OX=9606 GN=PPP4R3A PE=1 SV=1,PPP4R3A,95.3,4619703.526665501,5938344.529445448
Q9Y2X7,ARF GTPase-activating protein GIT1 OS=Homo sapiens OX=9606 GN=GIT1 PE=1 SV=2,GIT1,84.3,6880401.802129724,7028321.982996924
P00450,Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=2,CP,122.1,39437078.32980428,177193238.09874144
Q8TF72,Protein Shroom3 OS=Homo sapiens OX=9606 GN=SHROOM3 PE=1 SV=2,SHROOM3,216.7,62602996.51564225,3177283.6964067053
Q14254,Flotillin-2 OS=Homo sapiens OX=9606 GN=FLOT2 PE=1 SV=2,FLOT2,47.0,3434507.002245479,2501935.844628653
Q9NZB2,Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens OX=9606 GN=FAM120A PE=1 SV=2,FAM120A,121.8,5320259.362326796,5326538.45554089
Q6FI81,Anamorsin OS=Homo sapiens OX=9606 GN=CIAPIN1 PE=1 SV=2,CIAPIN1,33.6,9327199.132102648,6685433.96273702
Q96AE4,Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3,FUBP1,67.5,5557268.491352909,3005400.9550709073
P33992,DNA replication licensing factor MCM5 OS=Homo sapiens OX=9606 GN=MCM5 PE=1 SV=5,MCM5,82.2,5832197.223064928,16047086.227972623
Q9UHB9,Signal recognition particle subunit SRP68 OS=Homo sapiens OX=9606 GN=SRP68 PE=1 SV=2,SRP68,70.7,4965024.90530568,2690099.086208201
Q96R06,Sperm-associated antigen 5 OS=Homo sapiens OX=9606 GN=SPAG5 PE=1 SV=2,SPAG5,134.3,4002378.5639530052,4834306.650724756
O95551,Tyrosyl-DNA phosphodiesterase 2 OS=Homo sapiens OX=9606 GN=TDP2 PE=1 SV=1,TDP2,40.9,10333915.176001633,11084216.45435834
P78332,RNA-binding protein 6 OS=Homo sapiens OX=9606 GN=RBM6 PE=1 SV=5,RBM6,128.6,3990506.430257586,2403319.393706822
Q5SSJ5,Heterochromatin protein 1-binding protein 3 OS=Homo sapiens OX=9606 GN=HP1BP3 PE=1 SV=1,HP1BP3,61.2,18593733.295738906,34496308.032956876
Q86W56,Poly(ADP-ribose) glycohydrolase OS=Homo sapiens OX=9606 GN=PARG PE=1 SV=1,PARG,111.0,2803418.3975488073,1272010.9534716671
Q05682,Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=3,CALD1,93.2,8147735.560917714,6928160.58131663
P35241,Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1,RDX,68.5,1687466.156763458,2395356.4057207773
Q13523,Serine/threonine-protein kinase PRP4 homolog OS=Homo sapiens OX=9606 GN=PRPF4B PE=1 SV=3,PRPF4B,116.9,7321887.2976768315,7821546.232507611
O15164,Transcription intermediary factor 1-alpha OS=Homo sapiens OX=9606 GN=TRIM24 PE=1 SV=3,TRIM24,116.8,5463773.829326735,2733320.2016565474
O15226,NF-kappa-B-repressing factor OS=Homo sapiens OX=9606 GN=NKRF PE=1 SV=2,NKRF,77.6,6731447.8774889875,12138416.745806938
Q86YP4,Transcriptional repressor p66-alpha OS=Homo sapiens OX=9606 GN=GATAD2A PE=1 SV=1,GATAD2A,68.0,3919781.3227180247,2518432.989092327
Q16643,Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4,DBN1,71.4,7656022.727939277,19056610.96864631
Q9NYV4,Cyclin-dependent kinase 12 OS=Homo sapiens OX=9606 GN=CDK12 PE=1 SV=2,CDK12,164.1,2445595.340292403,1057664.9993374622
P39880,Homeobox protein cut-like 1 OS=Homo sapiens OX=9606 GN=CUX1 PE=1 SV=3,CUX1,164.1,3941783.8116990286,2424283.409181833
Q9H788,SH2 domain-containing protein 4A OS=Homo sapiens OX=9606 GN=SH2D4A PE=1 SV=1,SH2D4A,52.7,2801017.10014568,1910911.2573571769
P41236,Protein phosphatase inhibitor 2 OS=Homo sapiens OX=9606 GN=PPP1R2 PE=1 SV=2,PPP1R2,23.0,14194743.283505706,4937631.154597379
O60934,Nibrin OS=Homo sapiens OX=9606 GN=NBN PE=1 SV=1,NBN,84.9,5262868.898446363,2484567.9883928127
O60506,Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2,SYNCRIP,69.6,4036831.2890432156,766548.4183324755
Q01433,AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=3,AMPD2,94.8,3527799.981036586,2894648.3734253515
O43795,Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3,MYO1B,131.9,4214002.8080766825,5538233.158879491
Q8WUH6,Transmembrane protein 263 OS=Homo sapiens OX=9606 GN=TMEM263 PE=1 SV=1,TMEM263,11.7,46065319.70312824,95329851.3026088
Q8N3V7,Synaptopodin OS=Homo sapiens OX=9606 GN=SYNPO PE=1 SV=2,SYNPO,99.4,2811637.9472198896,1058125.9442721836
Q92667,"A-kinase anchor protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=AKAP1 PE=1 SV=1",AKAP1,97.3,4040432.021881232,3506822.2012453517
Q14244,Ensconsin OS=Homo sapiens OX=9606 GN=MAP7 PE=1 SV=1,MAP7,84.0,8041372.788197013,4964148.712957356
P40222,Alpha-taxilin OS=Homo sapiens OX=9606 GN=TXLNA PE=1 SV=3,TXLNA,61.9,4409460.2099000625,1705814.4741593306
Q13045,Protein flightless-1 homolog OS=Homo sapiens OX=9606 GN=FLII PE=1 SV=2,FLII,144.7,2818512.0990894684,2636410.9985376587
Q96II8,DISP complex protein LRCH3 OS=Homo sapiens OX=9606 GN=LRCH3 PE=1 SV=2,LRCH3,86.0,4979990.153833531,7528539.603222481
Q7Z3K3,Pogo transposable element with ZNF domain OS=Homo sapiens OX=9606 GN=POGZ PE=1 SV=2,POGZ,155.2,5324089.421723226,10376352.16033789
Q96HP0,Dedicator of cytokinesis protein 6 OS=Homo sapiens OX=9606 GN=DOCK6 PE=1 SV=3,DOCK6,229.4,994371.2215069929,1199204.742783778
Q9HCC0,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC2 PE=1 SV=1",MCCC2,61.3,6053733.306760412,32754196.486784883
Q9H0U4,Ras-related protein Rab-1B OS=Homo sapiens OX=9606 GN=RAB1B PE=1 SV=1,RAB1B,22.2,10576222.129748274,2099929.143985606
Q7L576,Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=1,CYFIP1,145.1,4639813.587829322,3146850.2741534873
Q9H6T3,RNA polymerase II-associated protein 3 OS=Homo sapiens OX=9606 GN=RPAP3 PE=1 SV=2,RPAP3,75.7,8591937.815974673,7842007.83339644
P18621,Large ribosomal subunit protein uL22 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3,RPL17,21.4,22286347.100018986,27752816.45757085
Q14155,Rho guanine nucleotide exchange factor 7 OS=Homo sapiens OX=9606 GN=ARHGEF7 PE=1 SV=2,ARHGEF7,90.0,9359918.788760627,4187958.2082984806
P18031,Tyrosine-protein phosphatase non-receptor type 1 OS=Homo sapiens OX=9606 GN=PTPN1 PE=1 SV=1,PTPN1,49.9,3726091.9697208004,3095301.787093135
Q8IX90,Spindle and kinetochore-associated protein 3 OS=Homo sapiens OX=9606 GN=SKA3 PE=1 SV=2,SKA3,46.3,1229882.400411259,530435.3137703208
Q13148,TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1,TARDBP,44.7,11806546.49128116,18826329.430699855
P42224,Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=2,STAT1,87.3,4475851.516105354,8463564.06422322
Q9HC35,Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens OX=9606 GN=EML4 PE=1 SV=3,EML4,108.8,3599491.3469273327,3177409.0208725547
Q9BWT3,Poly(A) polymerase gamma OS=Homo sapiens OX=9606 GN=PAPOLG PE=1 SV=2,PAPOLG,82.8,6067116.698197419,4012351.297086643
Q12959,Disks large homolog 1 OS=Homo sapiens OX=9606 GN=DLG1 PE=1 SV=2,DLG1,100.4,3984766.8359838547,11265102.345558979
Q9NXF1,Testis-expressed protein 10 OS=Homo sapiens OX=9606 GN=TEX10 PE=1 SV=2,TEX10,105.6,3939181.891072771,2608450.5538573703
P02786,Transferrin receptor protein 1 OS=Homo sapiens OX=9606 GN=TFRC PE=1 SV=2,TFRC,84.8,4027625.251395546,11276483.159198126
P11940,Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2,PABPC1,70.6,6621139.995762997,11712612.843624718
Q9H0D6,5'-3' exoribonuclease 2 OS=Homo sapiens OX=9606 GN=XRN2 PE=1 SV=1,XRN2,108.5,5463366.605945698,9930336.601958945
Q93052,Lipoma-preferred partner OS=Homo sapiens OX=9606 GN=LPP PE=1 SV=1,LPP,65.7,5172218.044107755,6112235.752039793
Q9Y2U8,Inner nuclear membrane protein Man1 OS=Homo sapiens OX=9606 GN=LEMD3 PE=1 SV=2,LEMD3,99.9,1993055.9253242568,1648213.2691299592
P26196,Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens OX=9606 GN=DDX6 PE=1 SV=2,DDX6,54.4,8260187.514740507,7569664.780915401
P22102,Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens OX=9606 GN=GART PE=1 SV=1,GART,107.7,3744008.712932042,6612469.489291463
P54136,"Arginine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=RARS1 PE=1 SV=2",RARS1,75.3,5378222.092169748,11615481.603822736
Q9Y6Y8,SEC23-interacting protein OS=Homo sapiens OX=9606 GN=SEC23IP PE=1 SV=1,SEC23IP,111.0,4437972.002304635,4104062.4071642626
P62316,Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens OX=9606 GN=SNRPD2 PE=1 SV=1,SNRPD2,13.5,122618973.92512648,113399430.58152318
P55795,Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens OX=9606 GN=HNRNPH2 PE=1 SV=1,HNRNPH2,49.2,1485222.2583949603,3268798.192850537
Q5H9R7,Serine/threonine-protein phosphatase 6 regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PPP6R3 PE=1 SV=2,PPP6R3,97.6,6781693.030783596,4699017.838511179
Q96GQ7,Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens OX=9606 GN=DDX27 PE=1 SV=2,DDX27,89.8,3967432.971625732,6349435.940958767
P43246,DNA mismatch repair protein Msh2 OS=Homo sapiens OX=9606 GN=MSH2 PE=1 SV=1,MSH2,104.7,4864304.346244007,5825766.015504406
Q9Y2I7,1-phosphatidylinositol 3-phosphate 5-kinase OS=Homo sapiens OX=9606 GN=PIKFYVE PE=1 SV=3,PIKFYVE,237.0,2166099.2470255652,2892450.0392331094
Q02878,Large ribosomal subunit protein eL6 OS=Homo sapiens OX=9606 GN=RPL6 PE=1 SV=3,RPL6,32.7,10160135.286487555,25487729.889332566
Q9UFC0,Leucine-rich repeat and WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=LRWD1 PE=1 SV=2,LRWD1,70.8,4683928.053530325,3980769.2097544847
Q15018,BRISC complex subunit Abraxas 2 OS=Homo sapiens OX=9606 GN=ABRAXAS2 PE=1 SV=2,ABRAXAS2,46.9,8824468.879873248,2720360.925514878
Q9UHD1,Cysteine and histidine-rich domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CHORDC1 PE=1 SV=2,CHORDC1,37.5,8228244.067787498,6033766.2376960935
Q9H910,Jupiter microtubule associated homolog 2 OS=Homo sapiens OX=9606 GN=JPT2 PE=1 SV=1,JPT2,20.1,17189359.073699918,24874110.59968746
Q8WTW3,Conserved oligomeric Golgi complex subunit 1 OS=Homo sapiens OX=9606 GN=COG1 PE=1 SV=1,COG1,108.9,4943267.917643553,4164707.2351087364
Q8WX93,Palladin OS=Homo sapiens OX=9606 GN=PALLD PE=1 SV=3,PALLD,150.5,5075483.564151301,3108872.2627169657
Q6STE5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3 OS=Homo sapiens OX=9606 GN=SMARCD3 PE=1 SV=1,SMARCD3,55.0,9782967.049692925,4517153.798758185
P49454,Centromere protein F OS=Homo sapiens OX=9606 GN=CENPF PE=1 SV=3,CENPF,357.3,1937567.5890087935,610012.2851162071
Q70E73,Ras-associated and pleckstrin homology domains-containing protein 1 OS=Homo sapiens OX=9606 GN=RAPH1 PE=1 SV=3,RAPH1,135.2,2182491.5653589885,3866643.70276016
Q9H6U6,BCAS3 microtubule associated cell migration factor OS=Homo sapiens OX=9606 GN=BCAS3 PE=1 SV=3,BCAS3,101.2,3667686.4486263925,8949394.884470487
P50750,Cyclin-dependent kinase 9 OS=Homo sapiens OX=9606 GN=CDK9 PE=1 SV=3,CDK9,42.8,10482592.01607626,4139593.6488012783
Q02543,Large ribosomal subunit protein eL20 OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2,RPL18A,20.7,40320177.646199025,68412316.4037668
P28370,Probable global transcription activator SNF2L1 OS=Homo sapiens OX=9606 GN=SMARCA1 PE=1 SV=2,SMARCA1,122.5,2017832.8103677877,298258.7475637439
O43148,mRNA cap guanine-N7 methyltransferase OS=Homo sapiens OX=9606 GN=RNMT PE=1 SV=1,RNMT,54.8,7366324.070862851,8389958.229719792
Q5VZL5,Zinc finger MYM-type protein 4 OS=Homo sapiens OX=9606 GN=ZMYM4 PE=1 SV=1,ZMYM4,172.7,2927733.3664101157,2994782.8329109317
Q96EA4,Protein Spindly OS=Homo sapiens OX=9606 GN=SPDL1 PE=1 SV=2,SPDL1,70.1,6815179.191013145,7856602.736174448
P58107,Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3,EPPK1,555.3,1197048.4987317948,9588969.190919003
Q99575,Ribonucleases P/MRP protein subunit POP1 OS=Homo sapiens OX=9606 GN=POP1 PE=1 SV=2,POP1,114.6,3872407.1031995877,2532413.6239156616
Q9UPN9,E3 ubiquitin-protein ligase TRIM33 OS=Homo sapiens OX=9606 GN=TRIM33 PE=1 SV=3,TRIM33,122.5,3944242.918066412,6397796.295139543
P61106,Ras-related protein Rab-14 OS=Homo sapiens OX=9606 GN=RAB14 PE=1 SV=4,RAB14,23.9,6148702.062254235,3150287.9694236773
P57740,Nuclear pore complex protein Nup107 OS=Homo sapiens OX=9606 GN=NUP107 PE=1 SV=1,NUP107,106.3,6261473.616061675,5951214.668975781
P00338,L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2,LDHA,36.7,16232594.151109666,36781902.66177599
O43815,Striatin OS=Homo sapiens OX=9606 GN=STRN PE=1 SV=4,STRN,86.1,2414525.764626086,4244118.277545957
Q96L91,E1A-binding protein p400 OS=Homo sapiens OX=9606 GN=EP400 PE=1 SV=4,EP400,343.3,821947.8024492319,1703133.5849374288
Q9BYJ9,YTH domain-containing family protein 1 OS=Homo sapiens OX=9606 GN=YTHDF1 PE=1 SV=1,YTHDF1,60.8,1100017.4261582207,1155070.1581594078
Q86VM9,Zinc finger CCCH domain-containing protein 18 OS=Homo sapiens OX=9606 GN=ZC3H18 PE=1 SV=2,ZC3H18,106.3,2998562.0996949486,1784139.538901949
P98170,E3 ubiquitin-protein ligase XIAP OS=Homo sapiens OX=9606 GN=XIAP PE=1 SV=2,XIAP,56.6,3389985.3387058945,2666227.054181994
Q99714,3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens OX=9606 GN=HSD17B10 PE=1 SV=3,HSD17B10,26.9,9635008.514574802,11017966.422524473
Q96QD5,DEP domain-containing protein 7 OS=Homo sapiens OX=9606 GN=DEPDC7 PE=2 SV=1,DEPDC7,58.3,11529193.831549717,2484418.6895991056
Q53HL2,Borealin OS=Homo sapiens OX=9606 GN=CDCA8 PE=1 SV=2,CDCA8,31.3,8757363.5087592,6605558.444106549
Q71RC2,La-related protein 4 OS=Homo sapiens OX=9606 GN=LARP4 PE=1 SV=3,LARP4,80.5,2371726.275661114,6849383.233786284
Q9Y305,"Acyl-coenzyme A thioesterase 9, mitochondrial OS=Homo sapiens OX=9606 GN=ACOT9 PE=1 SV=2",ACOT9,49.9,7040145.460565828,9779965.452563379
P22061,Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens OX=9606 GN=PCMT1 PE=1 SV=4,PCMT1,24.6,5844976.6120374445,7711356.740719452
O14980,Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1,XPO1,123.3,5242629.285944112,9445993.045186913
Q13416,Origin recognition complex subunit 2 OS=Homo sapiens OX=9606 GN=ORC2 PE=1 SV=2,ORC2,65.9,5955390.022421702,7017711.4867456835
O43684,Mitotic checkpoint protein BUB3 OS=Homo sapiens OX=9606 GN=BUB3 PE=1 SV=1,BUB3,37.1,12700888.881757185,13045916.485224118
Q9Y383,Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens OX=9606 GN=LUC7L2 PE=1 SV=2,LUC7L2,46.5,9212294.68102304,12499896.148050355
Q9NTZ6,RNA-binding protein 12 OS=Homo sapiens OX=9606 GN=RBM12 PE=1 SV=1,RBM12,97.3,3270546.4886113456,2211986.8425659603
P62280,Small ribosomal subunit protein uS17 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3,RPS11,18.4,64709725.7456517,103530416.12502807
Q8TCG1,Protein CIP2A OS=Homo sapiens OX=9606 GN=CIP2A PE=1 SV=2,CIP2A,102.1,11709675.640150437,2951676.2670626626
Q8WW12,PEST proteolytic signal-containing nuclear protein OS=Homo sapiens OX=9606 GN=PCNP PE=1 SV=2,PCNP,18.9,13483054.52560599,13927221.670800913
Q7L0Y3,tRNA methyltransferase 10 homolog C OS=Homo sapiens OX=9606 GN=TRMT10C PE=1 SV=2,TRMT10C,47.3,8023435.304511243,7854402.510595871
Q9H1A4,Anaphase-promoting complex subunit 1 OS=Homo sapiens OX=9606 GN=ANAPC1 PE=1 SV=1,ANAPC1,216.4,3119762.306492098,2784234.2795098675
Q16555,Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1,DPYSL2,62.3,1637372.6745744506,1914833.0670446963
P62820,Ras-related protein Rab-1A OS=Homo sapiens OX=9606 GN=RAB1A PE=1 SV=3,RAB1A,22.7,2629713.6283987537,24610065.541966833
P62241,Small ribosomal subunit protein eS8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2,RPS8,24.2,26377302.815680943,56660926.05567738
Q9Y3I0,RNA-splicing ligase RtcB homolog OS=Homo sapiens OX=9606 GN=RTCB PE=1 SV=1,RTCB,55.2,6166894.906647018,2794269.1001361283
Q9H8V3,Protein ECT2 OS=Homo sapiens OX=9606 GN=ECT2 PE=1 SV=4,ECT2,103.4,3744240.810846966,1382978.5696466493
P46781,Small ribosomal subunit protein uS4 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3,RPS9,22.6,80368401.8992524,99586202.42309573
Q9Y613,FH1/FH2 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FHOD1 PE=1 SV=3,FHOD1,126.5,2931576.3822175125,1050900.8484710732
P05556,Integrin beta-1 OS=Homo sapiens OX=9606 GN=ITGB1 PE=1 SV=2,ITGB1,88.4,5928966.351363374,8702080.376335774
Q9H0S4,Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens OX=9606 GN=DDX47 PE=1 SV=1,DDX47,50.6,4995822.747550485,7597748.8900682125
P51991,Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2,HNRNPA3,39.6,10686664.977813436,11481472.012648068
Q96T51,RUN and FYVE domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RUFY1 PE=1 SV=2,RUFY1,79.8,2304201.995492267,4512469.700014118
Q5M775,Cytospin-B OS=Homo sapiens OX=9606 GN=SPECC1 PE=1 SV=1,SPECC1,118.5,2693393.39852651,635555.0853344409
Q9H0G5,Nuclear speckle splicing regulatory protein 1 OS=Homo sapiens OX=9606 GN=NSRP1 PE=1 SV=1,NSRP1,66.4,14554592.879246177,12355598.179814264
P20810,Calpastatin OS=Homo sapiens OX=9606 GN=CAST PE=1 SV=4,CAST,76.5,4925391.557055746,1385734.1384471012
Q96GX5,Serine/threonine-protein kinase greatwall OS=Homo sapiens OX=9606 GN=MASTL PE=1 SV=1,MASTL,97.3,3436791.0980878035,1961437.0074383754
O15355,Protein phosphatase 1G OS=Homo sapiens OX=9606 GN=PPM1G PE=1 SV=1,PPM1G,59.2,6256957.95243844,10244788.976782365
P49915,GMP synthase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=GMPS PE=1 SV=1,GMPS,76.7,3229396.3399068033,5639071.857958028
Q9UKJ3,G patch domain-containing protein 8 OS=Homo sapiens OX=9606 GN=GPATCH8 PE=1 SV=2,GPATCH8,164.1,4237328.409066055,2925365.684719056
P57721,Poly(rC)-binding protein 3 OS=Homo sapiens OX=9606 GN=PCBP3 PE=1 SV=2,PCBP3,39.4,932994.2059858994,1048360.7568649347
